DAY,S02
22-Nov-18,0
23-Nov-18,0
24-Nov-18,0
25-Nov-18,0
26-Nov-18,0
27-Nov-18,0
28-Nov-18,0
29-Nov-18,0
30-Nov-18,0
1-Dec-18,0
2-Dec-18,0
3-Dec-18,0
4-Dec-18,0
5-Dec-18,0
6-Dec-18,0
7-Dec-18,0
8-Dec-18,0
9-Dec-18,0
10-Dec-18,0
11-Dec-18,0
12-Dec-18,0
13-Dec-18,0
14-Dec-18,0
15-Dec-18,0
16-Dec-18,0
17-Dec-18,0
18-Dec-18,0
19-Dec-18,0
20-Dec-18,0
21-Dec-18,0
22-Dec-18,0
23-Dec-18,0
24-Dec-18,0
25-Dec-18,0
26-Dec-18,0
27-Dec-18,0
28-Dec-18,0
29-Dec-18,0
30-Dec-18,0
31-Dec-18,0
1-Jan-19,0
2-Jan-19,0
3-Jan-19,0
4-Jan-19,0
5-Jan-19,0
6-Jan-19,0
7-Jan-19,0
8-Jan-19,0
9-Jan-19,0
10-Jan-19,0
11-Jan-19,0
12-Jan-19,0
13-Jan-19,0
14-Jan-19,0
15-Jan-19,0
16-Jan-19,0
17-Jan-19,0
18-Jan-19,0
19-Jan-19,0
20-Jan-19,0
21-Jan-19,0
22-Jan-19,0
23-Jan-19,0
24-Jan-19,0
25-Jan-19,0
26-Jan-19,0
27-Jan-19,0
28-Jan-19,0
29-Jan-19,0
30-Jan-19,0
31-Jan-19,0
1-Feb-19,0
2-Feb-19,0
3-Feb-19,0
4-Feb-19,0
5-Feb-19,0
6-Feb-19,0
7-Feb-19,0
8-Feb-19,0
9-Feb-19,0
10-Feb-19,0
11-Feb-19,0
12-Feb-19,0
13-Feb-19,0
14-Feb-19,0
15-Feb-19,0
16-Feb-19,0
17-Feb-19,0
18-Feb-19,0
19-Feb-19,0
20-Feb-19,0
21-Feb-19,0
22-Feb-19,0
23-Feb-19,0
24-Feb-19,0
25-Feb-19,0
26-Feb-19,0
27-Feb-19,0
28-Feb-19,0
1-Mar-19,3
2-Mar-19,5
3-Mar-19,3
4-Mar-19,6
5-Mar-19,6
6-Mar-19,6
7-Mar-19,6
8-Mar-19,8
9-Mar-19,6
10-Mar-19,4
11-Mar-19,4
12-Mar-19,5
13-Mar-19,3
14-Mar-19,0
15-Mar-19,0
16-Mar-19,0
17-Mar-19,0
18-Mar-19,0
19-Mar-19,0
20-Mar-19,0
21-Mar-19,0
22-Mar-19,0
23-Mar-19,0
24-Mar-19,0
25-Mar-19,0
26-Mar-19,0
27-Mar-19,0
28-Mar-19,0
29-Mar-19,0
30-Mar-19,0
31-Mar-19,0
1-Apr-19,0
2-Apr-19,3
